claim_id,statement,classification,source,source_date,source_owner,geography,lane,confidence,status,validation_owner,next_action,last_reviewed
CLM-019,54 percent of African respondents would consider a Chinese brand; 17 percent would not; about 30 percent report unfamiliarity,VERIFIED,Sagaci Research survey,2025-12-01,Sagaci Research,Africa,Automotive,medium,active,Program team,Supports a demonstration-vehicle strategy over a price-led strategy,2026-09-06
CLM-020,"Jetour is already distributed in Senegal by Salvador Caetano, trading as Jetour Senegal - Caetano",VERIFIED,Jetour Senegal - Caetano company pages,2026-09-06,Salvador Caetano,Senegal,Automotive,high,active,Program team,No exclusive West Africa distributor language may be used. Approach as cross-border service and parts cooperation,2026-09-06
CLM-021,Chery acquired Nissan's South African manufacturing plant,REPORTED,AP and other wire reports,2026-08-12,Press,South Africa,Automotive,low,open,Program team,Obtain primary-source confirmation before use in any briefing,2026-09-06
CLM-022,"Moove's drive-to-own model in Nigeria and Ghana used 18-48 month terms with zero down payment and weekly remittances of about USD 14-20, and generated driver defaults, repossessions and protests",VERIFIED,"Techpoint Africa, citing Rest of World",2023-06-06,Techpoint Africa,Nigeria/Ghana,Automotive,medium,active,Program team,"Use as a design warning for the driver-to-owner ladder, not as a template",2026-09-06
CLM-023,"No public dataset exists for Mauritanian vehicle registrations by make, model, age, powertrain, geography or buyer type",OPEN,Research cycle 2026-09-06,2026-09-06,Program team,Mauritania,Automotive,high,open,Diallo,Run the Nouakchott lot census and formal registration data request,2026-09-06
CLM-024,"No count exists of workshops, technicians or parts sellers in Mauritania or Senegal",OPEN,Research cycle 2026-09-06,2026-09-06,Program team,Mauritania/Senegal,Automotive,high,open,Diallo + Senegal counterpart,Build the workshop and technician registry,2026-09-06
CLM-025,"Mauritania and Senegal are in different monetary, banking and securities zones (MRU/BCM versus XOF/BCEAO/CREPMF)",VERIFIED,Central bank and regional regulator structures,2026-09-06,Program team,Mauritania/Senegal,Automotive,high,active,Counsel,Structure entities country-first; confirm Mauritania OHADA status,2026-09-06
CLM-026,Mauritania company registration takes one to two days through the APIM one-stop shop,VERIFIED,"US International Trade Administration, Mauritania Market Opportunities",2026-09-06,ITA,Mauritania,Automotive,medium,active,Diallo,Confirm requirements for a foreign-participated entity,2026-09-06
CLM-027,Mauritania GDP growth was 4.2 percent in 2025 with 4.4 percent forecast for 2026; population 5.3 million; the ouguiya depreciated 0.13 percent against the USD in 2025,VERIFIED,World Bank Macro Poverty Outlook - Mauritania,2026-09-06,World Bank,Mauritania,Automotive,high,active,Program team,Refresh at each MPO release,2026-09-06
CLM-028,"Senegal's Land Transport Development Fund (FDTT) and Bank for Trade and Industry (BCI SN) are deploying 1,000 hybrid taxis, first 100 arriving February 2026, with a managed driver acquisition plan; no vehicle supplier is publicly named",VERIFIED,Ecofin Agency,2026-09-06,Ecofin Agency,Senegal,Automotive,medium,active,Program team,Establish who supplies and services this fleet and whether the corridor can serve it - HIGHEST PRIORITY,2026-09-06
CLM-029,"The Dakar Sustainable Urban Mobility Project is USD 100 million IDA concessional financing approved 17 June 2025, benefiting 3.8 million people, including professionalization of informal transport operators through training and fleet renewal",VERIFIED,World Bank press release,2025-06-17,World Bank,Senegal,Automotive,high,active,Program team,Alignment opportunity only. The program holds no relationship to it and must not imply one,2026-09-06
CLM-030,Mauritania's Investment Code excludes ordinary purchasing of goods for resale and banking-governed activities including equipment leasing from incentive coverage,REPORTED,"APIM, via Strategic Deep-Research Dossier",2026-09-05,APIM (reported),Mauritania,Automotive,medium,open,Counsel,Obtain the primary Investment Code text and confirm the trading and leasing exclusion,2026-09-06
CLM-031,"Jetour distribution in the region: Senegal and Cape Verde via Salvador Caetano, Ghana via Swiss Group, Nigeria via Jetour Nigeria, South Africa networks operational",REPORTED,Strategic Deep-Research Dossier,2026-09-05,Program team,West Africa,Automotive,medium,active,Brother Ling,Confirm with JETOUR International in writing,2026-09-06
CLM-032,No authorized Jetour or equivalent Chinese OEM distributor is confirmed as holding Mauritanian territorial rights,OPEN,Strategic Deep-Research Dossier,2026-09-05,Program team,Mauritania,Automotive,medium,open,Brother Ling,"Obtain written confirmation on Mauritanian rights, factory-approved configurations, and whether warranty survives this import channel",2026-09-06
CLM-033,"Across 16 West African countries planning estimates indicate ~22.1m active four-wheel vehicles, 44,000-74,000 service locations, 100,000-260,000 technicians, ~34,000 OEM-qualified, but only 3,000-16,000 ready for modern Chinese platforms",ASSUMPTION,"West Africa Automotive Workforce Opportunity Report, via Strategic Deep-Research Dossier",2026-09-05,Program team,West Africa,Automotive,low,active,Program team,"Planning estimates, not a census. Label as such in all external use",2026-09-06
CLM-034,"Mauritania's vehicle market is approximately 99 percent Japanese, primarily Toyota",REPORTED,"Local market characterization, via Strategic Deep-Research Dossier",2026-09-05,Program team,Mauritania,Automotive,low,open,Diallo,Verify through the Nouakchott lot census and registration extract before external use,2026-09-06
CLM-035,"Approximately 300,000 taxi rides occur daily in Dakar",REPORTED,Red-team transcript,2026-09-06,Program team,Senegal,Automotive,low,open,Program team,No primary source located. Check MobiliseYourCity Dakar factsheet and CETUD before external use,2026-09-06
CLM-036,Starting with new vehicles only is required for market entry; certified used is deferred until HAMAL provenance is operational and the administrative minimum-value schedule is obtained,PROPOSAL,"Reconciliation v1.1, adopting the red-team position",2026-09-06,Program team,Mauritania,Automotive,high,active,Major,Supersedes the v1.0 statement that age-limit removal strengthens the certified-used lane,2026-09-06
